Местность,Гвардия_Пехота,Гвардия_Кавалерия,Гвардия_Артиллерия,Гвардия_Саперы,Гренадеры_Пехота,Гренадеры_Кавалерия,Гренадеры_Артиллерия,Гренадеры_Саперы,Армия_Пехота,Армия_Кавалерия
Красноярск,0,0,0,0,0,0,0,0,20,0
Красноярский округ,3,1,0,0,10,0,1,0,8,1
Енисейск,1,2,0,0,4,0,0,0,3,1
Енисейский округ,0,0,0,0,2,0,0,0,24,0
Канск,0,0,0,0,0,0,0,0,0,0
Канский округ,1,0,0,0,1,0,0,0,9,0
Минусинск,0,0,0,0,0,0,0,0,1,0
Минусинский округ,0,0,1,0,4,0,1,0,7,0
Ачинск,0,0,0,0,0,0,0,0,0,0
Ачинский округ,2,0,0,0,1,1,0,0,24,0
